bloque,z_m,G_kN,Q_kN,Gx_kNm,Gy_kNm,Qx_kNm,Qy_kNm,a_g
LT1,3.96,4404.996919662503,614.57366816364,43948.308905008525,36344.99023521731,2402.065327279527,5350.313284240863,0.2
LT2,3.96,7116.527712413748,2413.416691505785,-126263.68331077999,59203.287797139776,-41130.766819079516,19444.39035391572,0.2
LT1,7.92,10918.119214240565,3082.6593492279994,233851.58767606533,86561.06318191015,67542.67876599608,23258.37120519409,0.2
LT2,7.92,7029.10254441375,2344.5830433724295,-126211.44459013497,58587.65027471177,-41090.1115610603,18958.045470408186,0.2
LT1,11.88,10729.309339540561,3191.4987484524995,222777.3274708104,80617.08054100316,69168.01635204421,22871.96011265757,0.2
LT2,11.88,7029.10253941375,2344.5830365077745,-126209.47512256495,58592.25557507025,-41089.0352512929,18959.495963879974,0.2
LT1,15.84,11877.86541551556,2902.294582875128,282748.6642301903,89298.11645938613,69217.01327523634,22375.299673737085,0.2
LT2,15.84,7083.525241163751,2366.496676023952,-125884.30316774368,59216.96242130931,-41096.94208927134,19310.47501846155,0.2
LT1,19.8,12573.793951065561,4375.078785862714,310025.1132937159,86764.49225808501,112425.51705631401,33992.63999737962,0.2
LT2,19.8,5944.940419206877,971.7371131191851,-108525.00722058001,49017.06876562045,-17442.85831094753,8229.294983614853,0.2
